"Lambda","z","Variance","ExpReturn","YRS_1_3","EMU","EU_EX","PACIFIC","EMERGT","NOR_AM","CASH_EU","ITMHIST"
0.0000,0.2380,0.9355,0.2380,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
0.1000,0.1396,0.4653,0.2068,0.0000,0.0000,0.0000,0.0000,0.3936,0.6064,0.0000,0.0000
0.2000,0.0982,0.1245,0.1539,0.3452,0.0000,0.0000,0.0000,0.1859,0.4690,0.0000,0.0000
0.3000,0.0762,0.0504,0.1304,0.3560,0.0000,0.0000,0.0000,0.1155,0.3289,0.1996,0.0000
0.4000,0.0601,0.0276,0.1185,0.3583,0.0000,0.0000,0.0000,0.0803,0.2562,0.3052,0.0000
0.5000,0.0464,0.0186,0.1114,0.3597,0.0000,0.0000,0.0000,0.0591,0.2126,0.3686,0.0000
0.6000,0.0338,0.0147,0.1066,0.3606,0.0000,0.0000,0.0000,0.0450,0.1835,0.4108,0.0000
0.7000,0.0220,0.0128,0.1032,0.3613,0.0000,0.0000,0.0000,0.0350,0.1628,0.4410,0.0000
0.8000,0.0106,0.0118,0.1001,0.3561,0.0000,0.0000,0.0000,0.0255,0.1421,0.4690,0.0073
0.9000,-0.000,0.0113,0.0972,0.3478,0.0000,0.0000,0.0000,0.0166,0.1221,0.4949,0.0185
1.0000,-0.011,0.0111,0.0949,0.3411,0.0000,0.0000,0.0000,0.0096,0.1062,0.5156,0.0275
